gene_id	cons_num	cons_bp	cons_prop
ENSG00000000003	61	5081	0.1006119
ENSG00000000005	10	1317	0.0260787
ENSG00000000419	18	1862	0.0368706
ENSG00000000457	39	3444	0.0681967
ENSG00000000460	19	956	0.0189303
ENSG00000000938	14	774	0.0153264
ENSG00000000971	21	1190	0.0235639
ENSG00000001036	20	1153	0.0228312
ENSG00000001084	29	2933	0.0580781
ENSG00000001167	62	4594	0.0909685
ENSG00000001460	16	1509	0.0298806
ENSG00000001461	29	1609	0.0318608
ENSG00000001497	6	340	0.0067325
ENSG00000001561	10	438	0.0086731
ENSG00000001617	57	4960	0.0982159
ENSG00000001626	32	2437	0.0482565
ENSG00000001629	41	4317	0.0854835
ENSG00000001630	27	1966	0.0389299
ENSG00000001631	27	1863	0.0368904
ENSG00000002016	19	2164	0.0428506
ENSG00000002330	64	7107	0.1407299
ENSG00000002549	8	267	0.0052870
ENSG00000002586	0	0	0.0000000
ENSG00000002587	21	1810	0.0358409
ENSG00000002726	8	276	0.0054652
ENSG00000002745	38	2339	0.0463159
ENSG00000002746	11	738	0.0146136
ENSG00000002822	28	2353	0.0465931
ENSG00000002834	29	1801	0.0356627
ENSG00000002919	42	6950	0.1376210
ENSG00000002933	5	147	0.0029108
ENSG00000003056	8	276	0.0054652
ENSG00000003096	20	1682	0.0333063
ENSG00000003137	35	3983	0.0788697
ENSG00000003147	24	1920	0.0380190
ENSG00000003249	26	1986	0.0393260
ENSG00000003393	34	2697	0.0534049
ENSG00000003400	22	959	0.0189897
ENSG00000003402	19	1967	0.0389497
ENSG00000003436	10	619	0.0122572
ENSG00000003509	45	3978	0.0787707
ENSG00000003756	33	3111	0.0616027
ENSG00000003987	9	459	0.0090889
ENSG00000003989	10	745	0.0147522
ENSG00000004059	24	3325	0.0658403
ENSG00000004139	73	5398	0.1068890
ENSG00000004142	61	5049	0.0999782
ENSG00000004399	25	2624	0.0519594
ENSG00000004455	24	1995	0.0395042
ENSG00000004468	3	91	0.0018019
ENSG00000004478	6	398	0.0078810
ENSG00000004487	3	165	0.0032673
ENSG00000004534	69	3958	0.0783747
ENSG00000004660	35	3361	0.0665531
ENSG00000004700	41	3137	0.0621176
ENSG00000004766	35	3776	0.0747708
ENSG00000004776	50	5114	0.1012653
ENSG00000004777	71	8484	0.1679967
ENSG00000004779	40	2286	0.0452664
ENSG00000004799	19	1910	0.0378210
ENSG00000004809	2	164	0.0032475
ENSG00000004838	107	10877	0.2153819
ENSG00000004846	7	951	0.0188313
ENSG00000004848	44	6685	0.1323736
ENSG00000004864	23	2287	0.0452862
ENSG00000004866	22	2934	0.0580979
ENSG00000004897	21	1881	0.0372468
ENSG00000004939	22	2247	0.0444942
ENSG00000004948	29	2076	0.0411081
ENSG00000004961	34	3274	0.0648304
ENSG00000004975	68	7655	0.1515812
ENSG00000005001	4	419	0.0082969
ENSG00000005007	38	2808	0.0556029
ENSG00000005020	36	2355	0.0466327
ENSG00000005022	16	1507	0.0298410
ENSG00000005059	30	3566	0.0706125
ENSG00000005073	82	9267	0.1835013
ENSG00000005075	33	2578	0.0510485
ENSG00000005100	29	2296	0.0454644
ENSG00000005102	35	3268	0.0647116
ENSG00000005108	32	2465	0.0488109
ENSG00000005156	32	3864	0.0765133
ENSG00000005175	56	4545	0.0899982
ENSG00000005187	24	1175	0.0232669
ENSG00000005189	49	3740	0.0740579
ENSG00000005194	61	4516	0.0894240
ENSG00000005206	22	2323	0.0459991
ENSG00000005238	16	1046	0.0207125
ENSG00000005243	53	8600	0.1702937
ENSG00000005249	34	2793	0.0553058
ENSG00000005302	16	1206	0.0238807
ENSG00000005339	4	151	0.0029900
ENSG00000005379	63	4257	0.0842954
ENSG00000005381	81	5661	0.1120968
ENSG00000005421	16	1518	0.0300588
ENSG00000005436	6	1172	0.0232075
ENSG00000005448	38	3446	0.0682363
ENSG00000005469	5	240	0.0047524
ENSG00000005471	24	1502	0.0297420
ENSG00000005483	28	2891	0.0572464
ENSG00000005486	2	101	0.0020000
ENSG00000005513	16	991	0.0196234
ENSG00000005700	22	1425	0.0282173
ENSG00000005801	6	552	0.0109305
ENSG00000005810	15	1247	0.0246926
ENSG00000005812	26	3859	0.0764143
ENSG00000005844	13	2080	0.0411873
ENSG00000005882	55	4311	0.0853646
ENSG00000005884	18	1086	0.0215045
ENSG00000005889	15	2538	0.0502564
ENSG00000005893	12	1325	0.0262371
ENSG00000005961	55	8986	0.1779371
ENSG00000005981	26	3462	0.0685531
ENSG00000006007	72	5000	0.0990079
ENSG00000006015	26	1565	0.0309895
ENSG00000006016	26	1973	0.0390685
ENSG00000006025	74	6907	0.1367696
ENSG00000006042	7	400	0.0079206
ENSG00000006047	93	9214	0.1824518
ENSG00000006059	48	4261	0.0843746
ENSG00000006062	19	1049	0.0207719
ENSG00000006071	43	3166	0.0626918
ENSG00000006116	38	4401	0.0871468
ENSG00000006118	40	3213	0.0636225
ENSG00000006125	32	3548	0.0702560
ENSG00000006128	8	949	0.0187917
ENSG00000006194	14	1324	0.0262173
ENSG00000006210	7	257	0.0050890
ENSG00000006282	68	3888	0.0769886
ENSG00000006283	103	6652	0.1317202
ENSG00000006327	48	4479	0.0886913
ENSG00000006377	61	8877	0.1757787
ENSG00000006432	10	1138	0.0225342
ENSG00000006451	9	645	0.0127720
ENSG00000006453	13	1113	0.0220392
ENSG00000006459	17	1969	0.0389893
ENSG00000006468	29	3198	0.0633255
ENSG00000006530	15	1250	0.0247520
ENSG00000006534	16	1556	0.0308113
ENSG00000006555	20	1421	0.0281381
ENSG00000006576	34	4201	0.0831865
ENSG00000006606	2	101	0.0020000
ENSG00000006607	22	1778	0.0352072
ENSG00000006611	38	3083	0.0610483
ENSG00000006625	8	553	0.0109503
ENSG00000006634	34	2256	0.0446724
ENSG00000006638	36	3785	0.0749490
ENSG00000006652	23	1633	0.0323360
ENSG00000006659	0	0	0.0000000
ENSG00000006695	12	921	0.0182373
ENSG00000006704	16	1035	0.0204946
ENSG00000006712	49	5075	0.1004931
ENSG00000006715	39	3933	0.0778796
ENSG00000006740	26	2557	0.0506327
ENSG00000006744	24	1939	0.0383953
ENSG00000006747	17	714	0.0141383
ENSG00000006756	8	721	0.0142769
ENSG00000006757	12	1261	0.0249698
ENSG00000006788	64	7676	0.1519970
ENSG00000006831	11	1219	0.0241381
ENSG00000006837	28	3050	0.0603948
ENSG00000007001	55	4969	0.0983941
ENSG00000007038	32	3454	0.0683947
ENSG00000007047	38	4353	0.0861963
ENSG00000007062	7	314	0.0062177
ENSG00000007080	6	353	0.0069900
ENSG00000007129	0	0	0.0000000
ENSG00000007168	18	1160	0.0229698
ENSG00000007171	3	205	0.0040593
ENSG00000007174	30	2760	0.0546524
ENSG00000007202	48	6487	0.1284529
ENSG00000007216	8	189	0.0037425
ENSG00000007237	13	1600	0.0316825
ENSG00000007255	13	1910	0.0378210
ENSG00000007264	17	758	0.0150096
ENSG00000007306	3	261	0.0051682
ENSG00000007312	55	6109	0.1209679
ENSG00000007314	20	1257	0.0248906
ENSG00000007341	26	2281	0.0451674
ENSG00000007350	4	326	0.0064553
ENSG00000007372	53	6133	0.1214431
ENSG00000007376	30	1499	0.0296826
ENSG00000007384	25	2321	0.0459595
ENSG00000007392	27	1593	0.0315439
ENSG00000007402	38	4126	0.0817014
ENSG00000007516	17	1480	0.0293064
ENSG00000007520	28	2080	0.0411873
ENSG00000007541	35	2278	0.0451080
ENSG00000007545	27	1794	0.0355240
ENSG00000007866	22	1693	0.0335241
ENSG00000007908	30	2066	0.0409101
ENSG00000007923	39	2240	0.0443556
ENSG00000007933	6	305	0.0060395
ENSG00000007944	17	1267	0.0250886
ENSG00000007952	34	2716	0.0537811
ENSG00000007968	47	4665	0.0923744
ENSG00000008018	26	2662	0.0527118
ENSG00000008056	46	4409	0.0873052
ENSG00000008083	21	2738	0.0542167
ENSG00000008086	24	1699	0.0336429
ENSG00000008118	31	1942	0.0384547
ENSG00000008128	17	1477	0.0292469
ENSG00000008130	24	2438	0.0482763
ENSG00000008196	30	2958	0.0585731
ENSG00000008197	43	5453	0.1079781
ENSG00000008226	45	4208	0.0833251
ENSG00000008256	23	1289	0.0255242
ENSG00000008277	25	2751	0.0544742
ENSG00000008282	9	623	0.0123364
ENSG00000008283	37	2916	0.0577414
ENSG00000008294	24	1996	0.0395240
ENSG00000008300	55	5512	0.1091464
ENSG00000008311	4	253	0.0050098
ENSG00000008323	5	198	0.0039207
ENSG00000008324	36	3690	0.0730679
ENSG00000008382	24	1954	0.0386923
ENSG00000008394	32	3727	0.0738005
ENSG00000008405	22	1760	0.0348508
ENSG00000008438	2	390	0.0077226
ENSG00000008441	34	2746	0.0543752
ENSG00000008513	2	175	0.0034653
ENSG00000008516	65	5487	0.1086513
ENSG00000008517	70	5226	0.1034831
ENSG00000008710	71	6106	0.1209085
ENSG00000008735	43	3936	0.0779390
ENSG00000008838	101	12227	0.2421140
ENSG00000008853	10	679	0.0134453
ENSG00000008869	29	1907	0.0377616
ENSG00000008952	20	1331	0.0263559
ENSG00000008988	29	1845	0.0365339
ENSG00000009307	19	1403	0.0277816
ENSG00000009335	24	1554	0.0307717
ENSG00000009413	35	3019	0.0597810
ENSG00000009694	55	4992	0.0988495
ENSG00000009709	35	2620	0.0518802
ENSG00000009724	50	3865	0.0765331
ENSG00000009765	8	408	0.0080790
ENSG00000009780	7	465	0.0092077
ENSG00000009790	21	1316	0.0260589
ENSG00000009830	46	2708	0.0536227
ENSG00000009844	19	1610	0.0318806
ENSG00000009950	19	2584	0.0511673
ENSG00000009954	24	2737	0.0541969
ENSG00000010017	15	748	0.0148116
ENSG00000010030	14	1570	0.0310885
ENSG00000010072	10	2438	0.0482763
ENSG00000010165	9	489	0.0096830
ENSG00000010219	25	2060	0.0407913
ENSG00000010244	39	3171	0.0627908
ENSG00000010256	95	9734	0.1927487
ENSG00000010270	6	470	0.0093067
ENSG00000010278	4	292	0.0057821
ENSG00000010282	34	2267	0.0448902
ENSG00000010292	38	2559	0.0506723
ENSG00000010295	76	10177	0.2015208
ENSG00000010310	0	0	0.0000000
ENSG00000010318	106	10545	0.2088078
ENSG00000010319	65	5750	0.1138591
ENSG00000010322	91	6802	0.1346904
ENSG00000010327	65	5783	0.1145126
ENSG00000010361	30	3824	0.0757213
ENSG00000010379	28	4454	0.0881963
ENSG00000010404	11	361	0.0071484
ENSG00000010438	1	92	0.0018217
ENSG00000010539	15	1574	0.0311677
ENSG00000010610	68	4783	0.0947110
ENSG00000010626	121	10262	0.2032039
ENSG00000010671	30	4689	0.0928496
ENSG00000010704	22	2053	0.0406527
ENSG00000010803	30	3306	0.0654640
ENSG00000010810	20	1824	0.0361181
ENSG00000010818	11	1054	0.0208709
ENSG00000010932	14	1258	0.0249104
ENSG00000011007	9	797	0.0157819
ENSG00000011009	59	4508	0.0892656
ENSG00000011021	26	2433	0.0481773
ENSG00000011028	34	3844	0.0761173
ENSG00000011052	23	1502	0.0297420
ENSG00000011083	52	4200	0.0831667
ENSG00000011105	12	934	0.0184947
ENSG00000011114	11	1235	0.0244550
ENSG00000011132	33	1953	0.0386725
ENSG00000011143	40	2100	0.0415833
ENSG00000011198	15	915	0.0181185
ENSG00000011201	13	623	0.0123364
ENSG00000011243	74	7674	0.1519574
ENSG00000011258	26	2619	0.0518604
ENSG00000011260	23	2838	0.0561969
ENSG00000011275	2	124	0.0024554
ENSG00000011295	19	1244	0.0246332
ENSG00000011304	14	727	0.0143958
ENSG00000011332	9	1360	0.0269302
ENSG00000011347	28	2317	0.0458803
ENSG00000011376	18	1054	0.0208709
ENSG00000011405	11	855	0.0169304
ENSG00000011422	8	882	0.0174650
ENSG00000011426	24	2297	0.0454842
ENSG00000011451	41	2294	0.0454248
ENSG00000011454	56	6214	0.1230471
ENSG00000011465	38	2001	0.0396230
ENSG00000011478	4	487	0.0096434
ENSG00000011485	15	2395	0.0474248
ENSG00000011523	17	1872	0.0370686
ENSG00000011566	30	2248	0.0445140
ENSG00000011590	11	930	0.0184155
ENSG00000011600	14	3265	0.0646522
ENSG00000011638	35	1691	0.0334845
ENSG00000011677	6	1173	0.0232273
ENSG00000012048	63	4751	0.0940773
ENSG00000012061	0	0	0.0000000
ENSG00000012124	30	3489	0.0690877
ENSG00000012171	63	5902	0.1168690
ENSG00000012174	30	2943	0.0582761
ENSG00000012211	81	7020	0.1390072
ENSG00000012223	10	820	0.0162373
ENSG00000012232	37	3385	0.0670284
ENSG00000012504	20	1614	0.0319598
ENSG00000012660	9	491	0.0097226
ENSG00000012779	1	156	0.0030890
ENSG00000012817	0	0	0.0000000
ENSG00000012822	41	5750	0.1138591
ENSG00000012963	28	2198	0.0435239
ENSG00000012983	22	1794	0.0355240
ENSG00000013016	40	2326	0.0460585
ENSG00000013275	10	725	0.0143562
ENSG00000013288	2	284	0.0056237
ENSG00000013293	27	1858	0.0367914
ENSG00000013297	34	3487	0.0690481
ENSG00000013306	54	4639	0.0918596
ENSG00000013364	53	8479	0.1678977
ENSG00000013374	4	242	0.0047920
ENSG00000013375	35	2691	0.0532861
ENSG00000013392	48	4613	0.0913447
ENSG00000013441	33	3552	0.0703352
ENSG00000013503	35	2817	0.0557811
ENSG00000013523	29	1561	0.0309103
ENSG00000013561	62	6534	0.1293836
ENSG00000013563	59	5912	0.1170670
ENSG00000013573	1	78	0.0015445
ENSG00000013583	14	829	0.0164155
ENSG00000013588	9	359	0.0071088
ENSG00000013725	39	5116	0.1013049
ENSG00000013810	14	992	0.0196432
ENSG00000014123	13	967	0.0191481
ENSG00000014138	19	1750	0.0346528
ENSG00000014164	58	3137	0.0621176
ENSG00000014216	22	2063	0.0408507
ENSG00000014257	5	215	0.0042573
ENSG00000014641	34	2911	0.0576424
ENSG00000014824	23	2901	0.0574444
ENSG00000014914	51	5092	0.1008297
ENSG00000014919	22	1802	0.0356825
ENSG00000015133	14	3480	0.0689095
ENSG00000015153	15	1150	0.0227718
ENSG00000015171	11	553	0.0109503
ENSG00000015285	5	1777	0.0351874
ENSG00000015413	16	1425	0.0282173
ENSG00000015475	42	2971	0.0588305
ENSG00000015479	29	3159	0.0625532
ENSG00000015520	29	2616	0.0518010
ENSG00000015532	19	1777	0.0351874
ENSG00000015568	0	0	0.0000000
ENSG00000015592	17	1566	0.0310093
ENSG00000015676	33	2864	0.0567117
ENSG00000016082	52	3522	0.0697412
ENSG00000016391	41	3511	0.0695234
ENSG00000016402	12	649	0.0128512
ENSG00000016490	48	2286	0.0452664
ENSG00000016602	12	514	0.0101780
ENSG00000016864	31	1610	0.0318806
ENSG00000017260	30	1743	0.0345142
ENSG00000017427	28	2220	0.0439595
ENSG00000017483	33	2742	0.0542960
ENSG00000017797	5	544	0.0107721
ENSG00000018189	47	2949	0.0583949
ENSG00000018236	15	1053	0.0208511
ENSG00000018280	28	1927	0.0381577
ENSG00000018408	23	2378	0.0470882
ENSG00000018510	16	1616	0.0319994
ENSG00000018610	65	8084	0.1600760
ENSG00000018625	47	6120	0.1211857
ENSG00000018699	19	3032	0.0600384
ENSG00000018869	24	1641	0.0324944
ENSG00000019102	61	7314	0.1448288
ENSG00000019144	38	4740	0.0938595
ENSG00000019169	11	929	0.0183957
ENSG00000019186	13	1062	0.0210293
ENSG00000019485	12	774	0.0153264
ENSG00000019505	7	625	0.0123760
ENSG00000019549	8	337	0.0066731
ENSG00000019582	17	1726	0.0341775
ENSG00000019991	48	5341	0.1057603
ENSG00000019995	21	1575	0.0311875
ENSG00000020129	47	4102	0.0812261
ENSG00000020181	53	4544	0.0899784
ENSG00000020256	21	1897	0.0375636
ENSG00000020426	46	6170	0.1221758
ENSG00000020577	28	2545	0.0503950
ENSG00000020633	23	1760	0.0348508
ENSG00000020922	19	1686	0.0333855
ENSG00000021300	14	1255	0.0248510
ENSG00000021355	3	79	0.0015643
ENSG00000021461	5	380	0.0075246
ENSG00000021488	9	832	0.0164749
ENSG00000021574	20	1776	0.0351676
ENSG00000021645	50	4495	0.0890081
ENSG00000021762	4	122	0.0024158
ENSG00000021776	23	2949	0.0583949
ENSG00000021826	40	3450	0.0683155
ENSG00000021852	49	5613	0.1111463
ENSG00000022267	19	1278	0.0253064
ENSG00000022277	38	1652	0.0327122
ENSG00000022355	22	1461	0.0289301
ENSG00000022556	1	112	0.0022178
ENSG00000022567	14	1473	0.0291677
ENSG00000022840	27	2771	0.0548702
ENSG00000022976	5	436	0.0086335
ENSG00000023041	46	4446	0.0880379
ENSG00000023171	23	1296	0.0256629
ENSG00000023191	19	1376	0.0272470
ENSG00000023228	37	3089	0.0611671
ENSG00000023287	5	642	0.0127126
ENSG00000023318	21	2093	0.0414447
ENSG00000023330	13	896	0.0177422
ENSG00000023445	11	504	0.0099800
ENSG00000023516	35	2829	0.0560187
ENSG00000023572	25	1925	0.0381181
ENSG00000023608	29	4256	0.0842756
ENSG00000023697	20	1926	0.0381379
ENSG00000023734	16	862	0.0170690
ENSG00000023839	20	1624	0.0321578
ENSG00000023892	44	5190	0.1027702
ENSG00000023902	32	2630	0.0520782
ENSG00000023909	3	379	0.0075048
ENSG00000024048	14	1653	0.0327320
ENSG00000024422	26	4511	0.0893250
ENSG00000024526	5	551	0.0109107
ENSG00000024862	18	1166	0.0230887
ENSG00000025039	21	1345	0.0266331
ENSG00000025156	14	733	0.0145146
ENSG00000025293	28	4499	0.0890873
ENSG00000025423	41	3846	0.0761569
ENSG00000025434	48	3236	0.0640779
ENSG00000025708	47	4230	0.0837607
ENSG00000025770	65	5716	0.1131859
ENSG00000025772	23	2397	0.0474644
ENSG00000025796	18	1610	0.0318806
ENSG00000025800	29	3687	0.0730085
ENSG00000026025	20	1176	0.0232867
ENSG00000026036	15	1376	0.0272470
