Gene stable ID	Chromosome/scaffold name	Transcription start site (TSS)	Gene name
ENSG00000105732	19	42070366	ZNF574
ENSG00000105732	19	42076166	ZNF574
ENSG00000165259	X	84502453	HDX
ENSG00000165259	X	84502391	HDX
ENSG00000168813	19	32345594	ZNF507
ENSG00000168813	19	32345719	ZNF507
ENSG00000119403	9	120877328	PHF19
ENSG00000119403	9	120877188	PHF19
ENSG00000162624	1	75128434	LHX8
ENSG00000162624	1	75134882	LHX8
ENSG00000074219	19	49361495	TEAD2
ENSG00000074219	19	49362382	TEAD2
ENSG00000074219	19	49362407	TEAD2
ENSG00000074219	19	49362457	TEAD2
ENSG00000074219	19	49360438	TEAD2
ENSG00000074219	19	49362441	TEAD2
ENSG00000170515	12	56104319	PA2G4
ENSG00000164330	5	159099761	EBF1
ENSG00000164330	5	159099693	EBF1
ENSG00000164330	5	158840123	EBF1
ENSG00000167528	12	48350771	ZNF641
ENSG00000167528	12	48351238	ZNF641
ENSG00000167528	12	48350891	ZNF641
ENSG00000168264	1	234609525	IRF2BP2
ENSG00000121413	19	58098210	ZSCAN18
ENSG00000121413	19	58098363	ZSCAN18
ENSG00000121413	19	58098228	ZSCAN18
ENSG00000121413	19	58118426	ZSCAN18
ENSG00000121413	19	58098214	ZSCAN18
ENSG00000121413	19	58098203	ZSCAN18
ENSG00000196498	12	124422554	NCOR2
ENSG00000173480	19	57916576	ZNF417
ENSG00000165821	14	21537216	SALL2
ENSG00000005436	2	75665941	GCFC2
ENSG00000005436	2	75710989	GCFC2
ENSG00000005436	2	75710892	GCFC2
ENSG00000005436	2	75687892	GCFC2
ENSG00000005436	2	75710941	GCFC2
ENSG00000005436	2	75710899	GCFC2
ENSG00000005436	2	75710985	GCFC2
ENSG00000173230	3	121749767	GOLGB1
ENSG00000173230	3	121749740	GOLGB1
ENSG00000173230	3	121749755	GOLGB1
ENSG00000159592	1	45686536	GPBP1L1
ENSG00000159592	1	45686630	GPBP1L1
ENSG00000105610	19	12887199	KLF1
ENSG00000143178	1	168281040	TBX19
ENSG00000143178	1	168291160	TBX19
ENSG00000143178	1	168297624	TBX19
ENSG00000178229	19	57320509	ZNF543
ENSG00000188779	15	67819704	SKOR1
ENSG00000188779	15	67825545	SKOR1
ENSG00000258873	19	57167443	DUXA
ENSG00000124444	19	43596392	ZNF576
ENSG00000124444	19	43596407	ZNF576
ENSG00000124444	19	43596480	ZNF576
ENSG00000124444	19	43596575	ZNF576
ENSG00000124444	19	43596595	ZNF576
ENSG00000124444	19	43596605	ZNF576
ENSG00000164463	5	173056352	CREBRF
ENSG00000164463	5	173056368	CREBRF
ENSG00000143373	1	151282267	ZNF687
ENSG00000143373	1	151282312	ZNF687
ENSG00000141052	17	12665989	MYOCD
ENSG00000141052	17	12666189	MYOCD
ENSG00000169955	16	30534918	ZNF747
ENSG00000169955	16	30535347	ZNF747
ENSG00000148835	10	103367967	TAF5
ENSG00000124151	20	47501902	NCOA3
ENSG00000124151	20	47501927	NCOA3
ENSG00000124151	20	47501941	NCOA3
ENSG00000162227	11	62771303	TAF6L
ENSG00000162613	1	77979087	FUBP1
ENSG00000162613	1	77979086	FUBP1
ENSG00000131408	19	50329692	NR1H2
ENSG00000131408	19	50376458	NR1H2
ENSG00000131408	19	50376459	NR1H2
ENSG00000131408	19	50376469	NR1H2
ENSG00000131408	19	50376473	NR1H2
ENSG00000131408	19	50377245	NR1H2
ENSG00000131408	19	50377434	NR1H2
ENSG00000266265	7	130734176	KLF14
ENSG00000160685	1	155002657	ZBTB7B
ENSG00000160685	1	155014448	ZBTB7B
ENSG00000160685	1	155002630	ZBTB7B
ENSG00000197472	1	247007999	ZNF695
ENSG00000197472	1	247008093	ZNF695
ENSG00000197472	1	247008056	ZNF695
ENSG00000152467	19	58034032	ZSCAN1
ENSG00000152467	19	58034066	ZSCAN1
ENSG00000152467	19	58034106	ZSCAN1
ENSG00000112182	6	90296742	BACH2
ENSG00000112182	6	90296908	BACH2
ENSG00000167637	19	43827292	ZNF283
ENSG00000167637	19	43833505	ZNF283
ENSG00000198517	7	1530714	MAFK
ENSG00000198517	7	1537487	MAFK
ENSG00000198517	7	1538708	MAFK
ENSG00000196172	19	23758891	ZNF681
ENSG00000080839	20	37095995	RBL1
ENSG00000080839	20	37095989	RBL1
ENSG00000167491	19	19427527	GATAD2A
ENSG00000167491	19	19458466	GATAD2A
ENSG00000167491	19	19385833	GATAD2A
ENSG00000196267	19	52171491	ZNF836
ENSG00000092607	1	118989556	TBX15
ENSG00000092607	1	118914125	TBX15
ENSG00000092607	1	118988348	TBX15
ENSG00000196391	15	90352245	ZNF774
ENSG00000105516	19	48637438	DBP
ENSG00000105516	19	48634636	DBP
ENSG00000105516	19	48634526	DBP
ENSG00000105516	19	48637363	DBP
ENSG00000105419	19	47419315	MEIS3
ENSG00000105419	19	47419288	MEIS3
ENSG00000105419	19	47419269	MEIS3
ENSG00000105419	19	47419122	MEIS3
ENSG00000159388	1	203305536	BTG2
ENSG00000170374	12	53336382	SP7
ENSG00000170374	12	53335754	SP7
ENSG00000170374	12	53336342	SP7
